Production_Order,Material,Plant,Quantity,Start_Date,End_Date
73,Rubber,Brassicaceae,755,2/15/2019,5/3/2021
74,Wood,Elaeagnaceae,380,9/20/2018,2/24/2022
75,Stone,Hydrophyllaceae,984,1/10/2019,6/23/2020
76,Rubber,Ericaceae,788,8/17/2018,7/4/2021
77,Glass,Portulacaceae,2,11/19/2018,9/22/2020
78,Stone,Berberidaceae,914,7/30/2018,1/13/2023
79,Rubber,Caprifoliaceae,521,7/21/2018,1/21/2022
80,Vinyl,Caprifoliaceae,612,7/20/2018,8/25/2022
81,Vinyl,Salicaceae,429,11/22/2018,6/29/2021
82,Stone,Theaceae,883,3/9/2019,9/7/2020
83,Brass,Pteridaceae,465,6/7/2018,10/16/2020
84,Rubber,Poaceae,929,11/19/2018,6/19/2022
85,Brass,Lecanoraceae,695,2/4/2019,3/21/2023
86,Steel,Euphorbiaceae,958,7/2/2018,12/8/2021
87,Glass,Lamiaceae,995,12/12/2018,4/26/2022
88,Brass,Campanulaceae,889,11/21/2018,8/26/2020
89,Wood,Poaceae,941,6/10/2018,3/7/2023
90,Brass,Poaceae,881,8/25/2018,5/29/2022
91,Brass,Polygonaceae,703,8/29/2018,12/1/2020
92,Plastic,Liliaceae,633,12/27/2018,12/20/2021
93,Granite,Betulaceae,416,1/23/2019,2/20/2022
94,Plexiglass,Asteraceae,79,11/8/2018,7/31/2021
95,Steel,Asteraceae,618,2/20/2019,9/6/2022
96,Stone,Fabaceae,595,9/9/2018,6/12/2021
97,Rubber,Rosaceae,960,6/10/2018,7/22/2021
98,Aluminum,Brachytheciaceae,700,8/31/2018,10/13/2021
99,Wood,Brassicaceae,612,7/25/2018,6/18/2022
100,Rubber,Asteraceae,176,2/5/2019,1/27/2023
101,Granite,Rutaceae,901,12/18/2018,5/27/2021
102,Brass,Brassicaceae,332,6/19/2018,1/31/2022
103,Granite,Schizaeaceae,267,3/15/2019,10/3/2021
104,Granite,Cyperaceae,935,3/6/2019,12/27/2020
105,Rubber,Scrophulariaceae,424,9/2/2018,3/22/2021
106,Granite,Valerianaceae,912,1/28/2019,10/16/2022
107,Wood,Poaceae,762,11/1/2018,10/25/2022
108,Plexiglass,Tiliaceae,478,9/14/2018,9/12/2020
109,Vinyl,Asteraceae,380,2/5/2019,8/26/2021
110,Brass,Fabaceae,759,11/28/2018,12/7/2022
111,Plastic,Bromeliaceae,102,10/7/2018,12/6/2022
112,Aluminum,Amaranthaceae,673,8/2/2018,3/4/2021
113,Plastic,Crassulaceae,915,3/9/2019,4/16/2022
114,Steel,Pteridaceae,685,8/21/2018,5/24/2021
115,Wood,Asteraceae,915,2/6/2019,3/1/2021
116,Plastic,Fabaceae,509,12/26/2018,9/3/2021
117,Stone,Asteraceae,740,3/3/2019,2/27/2022
118,Vinyl,Fabaceae,511,10/9/2018,10/7/2022
119,Rubber,Campanulaceae,953,8/25/2018,1/13/2022
120,Vinyl,Agavaceae,639,11/15/2018,5/21/2022
121,Plastic,Ranunculaceae,715,9/22/2018,9/26/2020
122,Plastic,Clusiaceae,252,8/9/2018,6/19/2021
123,Brass,Boraginaceae,869,10/5/2018,8/31/2021
124,Aluminum,Convolvulaceae,774,7/7/2018,4/7/2021
125,Vinyl,Polygonaceae,305,11/5/2018,3/17/2023
126,Vinyl,Passifloraceae,213,12/19/2018,10/30/2021
127,Aluminum,Asteraceae,193,7/13/2018,10/25/2021
128,Steel,Cactaceae,965,3/11/2019,2/20/2021
129,Plexiglass,Euphorbiaceae,78,7/20/2018,8/8/2020
130,Plastic,Campanulaceae,792,2/15/2019,6/3/2021
131,Vinyl,Apiaceae,765,11/17/2018,5/18/2021
132,Glass,Amaranthaceae,705,2/10/2019,10/24/2020
133,Steel,Solanaceae,552,3/19/2019,9/22/2020
134,Plastic,Euphorbiaceae,802,6/18/2018,2/14/2021
135,Vinyl,Asclepiadaceae,155,1/22/2019,8/26/2021
136,Aluminum,Boraginaceae,588,10/30/2018,1/29/2021
137,Rubber,Brassicaceae,959,7/5/2018,7/12/2022
138,Wood,Goodeniaceae,110,9/1/2018,3/10/2023
139,Vinyl,Violaceae,839,1/13/2019,7/13/2022
140,Granite,Asteraceae,962,8/13/2018,9/10/2020
141,Vinyl,Apiaceae,23,12/3/2018,9/26/2020
142,Brass,Cyperaceae,306,7/3/2018,11/18/2021
143,Plexiglass,Grossulariaceae,285,10/30/2018,6/12/2020
144,Stone,Salicaceae,33,6/13/2018,11/30/2022
145,Steel,Oleaceae,610,6/7/2018,1/2/2022
146,Stone,Onagraceae,945,8/19/2018,10/8/2022
147,Steel,Poaceae,318,10/26/2018,11/6/2021
148,Brass,Poaceae,110,7/21/2018,3/30/2022
149,Brass,Rutaceae,345,2/19/2019,2/8/2022
150,Glass,Cyperaceae,633,9/3/2018,4/27/2022
151,Wood,Brassicaceae,106,6/10/2018,11/4/2020
152,Wood,Chenopodiaceae,600,11/30/2018,3/25/2021
153,Glass,Asteraceae,206,9/27/2018,2/5/2021
154,Plastic,Euphorbiaceae,186,6/4/2018,2/25/2021
155,Plastic,Poaceae,667,1/13/2019,7/13/2020
156,Vinyl,Oleaceae,609,8/26/2018,3/16/2021
157,Vinyl,Asclepiadaceae,927,1/29/2019,2/23/2022
158,Glass,Polemoniaceae,500,1/21/2019,6/26/2021
159,Brass,Orchidaceae,872,9/16/2018,2/15/2022
160,Granite,Asteraceae,461,2/1/2019,1/17/2023
161,Rubber,Linaceae,700,7/31/2018,1/27/2022
162,Plastic,Rhamnaceae,802,1/6/2019,6/18/2021
163,Plexiglass,Hypnaceae,812,10/29/2018,2/21/2022
164,Brass,Fabaceae,303,2/12/2019,10/24/2020
165,Aluminum,Ranunculaceae,478,7/11/2018,1/4/2022
166,Granite,Collemataceae,469,1/21/2019,2/27/2021
167,Granite,Poaceae,485,1/14/2019,10/13/2022
168,Steel,Asteraceae,905,9/18/2018,6/24/2020
169,Vinyl,Plagiotheciaceae,880,1/3/2019,2/16/2023
170,Plastic,Polemoniaceae,671,11/25/2018,8/1/2022
171,Brass,Ochnaceae,43,11/29/2018,5/11/2022
172,Rubber,Rubiaceae,355,2/22/2019,1/14/2022
173,Steel,Convolvulaceae,393,6/9/2018,4/12/2022
174,Brass,Droseraceae,635,1/9/2019,9/18/2020
175,Plexiglass,Solanaceae,674,12/1/2018,7/4/2020
176,Aluminum,Boraginaceae,373,12/22/2018,3/29/2022
177,Plexiglass,Sterculiaceae,152,12/20/2018,12/10/2021
178,Vinyl,Rosaceae,933,10/13/2018,5/22/2022
179,Plexiglass,Chenopodiaceae,370,10/15/2018,8/21/2020
180,Wood,Cyperaceae,672,8/13/2018,6/13/2022
181,Steel,Polygonaceae,515,10/1/2018,2/18/2021
182,Aluminum,Asteraceae,964,6/16/2018,4/10/2022
183,Vinyl,Grossulariaceae,736,3/25/2019,6/11/2022
184,Plastic,Trapeliaceae,859,7/28/2018,10/8/2022
185,Plexiglass,Poaceae,931,11/1/2018,9/27/2022
186,Rubber,Lecanoraceae,475,1/19/2019,12/21/2022
187,Plastic,Parmeliaceae,344,9/24/2018,2/7/2021
188,Plastic,Liliaceae,677,2/2/2019,9/18/2020
189,Brass,Ericaceae,366,8/11/2018,7/15/2021
190,Wood,Fabaceae,171,8/10/2018,7/26/2020
191,Aluminum,Cyperaceae,708,9/30/2018,8/27/2020
192,Rubber,Araceae,320,7/26/2018,3/12/2023
193,Rubber,Lichenotheliaceae,759,10/20/2018,8/15/2022
194,Plastic,Mycosphaerellaceae,716,2/20/2019,4/1/2022
195,Brass,Poaceae,409,7/3/2018,12/18/2022
196,Rubber,Boraginaceae,809,11/17/2018,3/2/2021
197,Plastic,Ericaceae,533,12/23/2018,10/29/2021
198,Aluminum,Orthotrichaceae,615,8/25/2018,7/10/2022
199,Wood,Poaceae,560,8/19/2018,5/12/2022
200,Rubber,Onagraceae,45,12/9/2018,10/20/2020
201,Stone,Asteraceae,29,10/3/2018,5/21/2021
202,Rubber,Anacardiaceae,715,11/27/2018,7/23/2022
203,Glass,Apocynaceae,329,3/4/2019,1/6/2023
204,Plastic,Loganiaceae,680,8/6/2018,3/9/2021
205,Aluminum,Brassicaceae,593,12/6/2018,10/23/2021
206,Stone,Campanulaceae,175,2/23/2019,10/8/2021
207,Steel,Opegraphaceae,668,8/1/2018,11/18/2022
208,Steel,Scrophulariaceae,532,9/21/2018,10/20/2020
209,Granite,Nyctaginaceae,889,1/7/2019,11/14/2020
210,Steel,Rosaceae,286,6/7/2018,8/27/2022
211,Stone,Lamiaceae,604,9/27/2018,11/9/2021
212,Plexiglass,Cuscutaceae,111,9/16/2018,1/8/2021
213,Granite,Caprifoliaceae,77,12/8/2018,11/1/2020
214,Plexiglass,Gentianaceae,864,7/30/2018,12/26/2021
215,Stone,Poaceae,772,12/10/2018,7/15/2021
216,Rubber,Umbilicariaceae,131,1/16/2019,2/20/2022
217,Plexiglass,Lecanoraceae,543,11/23/2018,9/22/2020
218,Stone,Asteraceae,812,11/1/2018,12/22/2021
219,Stone,Scrophulariaceae,704,12/8/2018,11/9/2022
220,Plastic,Campanulaceae,920,3/1/2019,11/7/2021
221,Glass,Poaceae,348,1/15/2019,3/30/2022
222,Granite,Nyctaginaceae,509,8/2/2018,10/13/2021
223,Granite,Fabaceae,411,11/21/2018,2/25/2021
224,Plastic,Rosaceae,336,12/2/2018,2/2/2023
225,Granite,Asteraceae,672,10/10/2018,4/12/2022
226,Granite,Fabaceae,633,3/15/2019,3/15/2021
227,Stone,Cucurbitaceae,878,10/27/2018,6/5/2020
228,Wood,Liliaceae,453,6/17/2018,12/20/2022
229,Glass,Polygonaceae,699,7/15/2018,8/20/2021
230,Granite,Cladoniaceae,885,6/8/2018,10/15/2022
231,Aluminum,Asteraceae,570,6/3/2018,11/10/2022
232,Wood,Campanulaceae,970,8/25/2018,6/22/2021
233,Plastic,Rosaceae,728,7/3/2018,8/28/2020
234,Stone,Tiliaceae,66,11/17/2018,1/26/2023
235,Wood,Polemoniaceae,253,9/14/2018,12/20/2021
236,Glass,Hydrophyllaceae,621,10/19/2018,10/10/2022
237,Plastic,Onagraceae,818,9/15/2018,3/22/2023
238,Plexiglass,Urticaceae,737,1/25/2019,11/5/2021
239,Brass,Vitaceae,343,10/14/2018,11/23/2022
240,Brass,Cyperaceae,55,3/11/2019,11/25/2022
241,Stone,Asteraceae,578,11/19/2018,6/30/2020
242,Granite,Gesneriaceae,715,11/3/2018,10/31/2022
243,Steel,Poaceae,618,6/3/2018,1/13/2021
244,Stone,Bryaceae,441,12/28/2018,2/23/2021
245,Brass,Malvaceae,951,6/11/2018,1/14/2022
246,Vinyl,Campanulaceae,374,3/19/2019,3/16/2023
247,Aluminum,Onagraceae,69,6/5/2018,5/29/2022
248,Wood,Sapotaceae,341,12/24/2018,1/2/2021
249,Wood,Asteraceae,938,6/5/2018,11/19/2022
250,Glass,Chenopodiaceae,562,2/18/2019,12/27/2021
251,Stone,Asteraceae,846,7/14/2018,5/28/2022
252,Stone,Malvaceae,38,6/1/2018,1/26/2023
253,Vinyl,Caryophyllaceae,870,2/21/2019,12/26/2022
254,Wood,Portulacaceae,828,2/16/2019,11/30/2021
255,Rubber,Asteraceae,919,8/10/2018,11/24/2022
256,Steel,Oleaceae,751,7/7/2018,4/10/2022
257,Aluminum,Celastraceae,689,10/25/2018,12/27/2022
258,Steel,Parmeliaceae,245,9/23/2018,8/28/2020
259,Vinyl,Myrtaceae,261,9/30/2018,12/9/2021
260,Wood,Verbenaceae,995,11/4/2018,10/19/2022
261,Rubber,Asclepiadaceae,646,8/10/2018,5/8/2021
262,Brass,Convolvulaceae,825,8/27/2018,12/4/2020
263,Plastic,Cyperaceae,477,9/29/2018,9/13/2020
264,Brass,Asteraceae,635,12/3/2018,5/9/2021
265,Plastic,Polemoniaceae,612,11/25/2018,8/29/2022
266,Brass,Asteraceae,690,6/14/2018,1/31/2022
267,Glass,Fabaceae,516,2/14/2019,1/23/2023
268,Brass,Asteraceae,401,6/10/2018,12/12/2020
269,Vinyl,Asteraceae,443,9/30/2018,12/11/2021
270,Aluminum,Celastraceae,186,7/22/2018,10/3/2020
271,Vinyl,Hydrocharitaceae,451,7/26/2018,9/12/2020
272,Plexiglass,Poaceae,587,7/31/2018,7/7/2020
273,Wood,Scrophulariaceae,394,9/4/2018,10/29/2021
274,Granite,Bromeliaceae,570,2/16/2019,1/28/2021
275,Plexiglass,Poaceae,626,12/13/2018,3/16/2022
276,Brass,Violaceae,718,11/9/2018,6/7/2020
277,Glass,Onagraceae,835,12/18/2018,7/10/2020
278,Rubber,Thelypteridaceae,547,11/15/2018,10/3/2020
279,Stone,Pteridaceae,132,7/18/2018,6/13/2020
280,Plexiglass,Lamiaceae,900,6/26/2018,7/23/2022
281,Granite,Pyrolaceae,486,6/17/2018,10/4/2022
282,Rubber,Plantaginaceae,954,2/24/2019,12/15/2020
283,Glass,Lamiaceae,991,6/18/2018,9/10/2021
284,Brass,Parmeliaceae,238,7/25/2018,8/29/2020
285,Plastic,Pterigynandraceae,187,12/5/2018,12/19/2021
286,Granite,Geraniaceae,574,1/28/2019,6/13/2021
287,Glass,Amblystegiaceae,701,7/22/2018,8/8/2020
288,Brass,Cactaceae,462,2/24/2019,1/13/2021
289,Aluminum,Chenopodiaceae,987,11/8/2018,6/14/2020
290,Glass,Euphorbiaceae,840,9/20/2018,12/10/2021
291,Rubber,Equisetaceae,172,12/27/2018,7/22/2021
292,Stone,Poaceae,389,11/12/2018,1/28/2023
293,Plexiglass,Hydrophyllaceae,832,10/21/2018,4/22/2021
294,Granite,Asteraceae,681,7/7/2018,8/19/2022
295,Steel,Orchidaceae,354,9/5/2018,10/26/2020
296,Steel,Sphagnaceae,490,9/12/2018,7/19/2020
297,Wood,Caryophyllaceae,106,10/20/2018,2/14/2022
298,Steel,Ericaceae,973,9/19/2018,10/20/2021
299,Glass,Scrophulariaceae,364,1/15/2019,4/17/2021
300,Wood,Asteraceae,568,7/26/2018,1/17/2021
301,Plexiglass,Polygonaceae,577,6/22/2018,10/23/2020
302,Plexiglass,Asteraceae,624,9/28/2018,3/1/2023
303,Aluminum,Amblystegiaceae,369,12/26/2018,8/28/2022
304,Wood,Fabaceae,172,11/4/2018,2/11/2021
305,Vinyl,Cyperaceae,430,7/30/2018,12/21/2021
306,Stone,Rosaceae,532,6/22/2018,3/9/2022
307,Vinyl,Fabaceae,311,2/13/2019,8/6/2020
308,Glass,Orchidaceae,100,1/17/2019,8/13/2022
309,Wood,Bryaceae,933,1/23/2019,7/4/2021
310,Granite,Saxifragaceae,298,8/1/2018,1/4/2022
311,Aluminum,Melastomataceae,295,7/12/2018,6/14/2020
312,Rubber,Apiaceae,320,8/28/2018,5/25/2021
313,Granite,Asteraceae,224,3/24/2019,1/12/2023
314,Brass,Moraceae,402,2/18/2019,4/25/2022
315,Plexiglass,Apiaceae,562,9/7/2018,12/12/2020
316,Stone,Pinaceae,976,2/23/2019,7/18/2022
317,Granite,Rhamnaceae,90,9/5/2018,1/12/2021
318,Plexiglass,Fabaceae,870,1/31/2019,10/18/2020
319,Aluminum,Polygonaceae,83,2/24/2019,3/15/2023
320,Brass,Vitaceae,494,10/20/2018,8/3/2021
321,Rubber,Orchidaceae,980,9/30/2018,1/30/2023
322,Vinyl,Lamiaceae,117,12/30/2018,6/4/2022
323,Vinyl,Pyrenulaceae,825,9/5/2018,3/25/2023
324,Vinyl,Cyperaceae,615,8/25/2018,7/15/2020
325,Plexiglass,Asteraceae,822,11/15/2018,12/17/2021
326,Glass,Selaginellaceae,465,9/26/2018,2/2/2021
327,Glass,Poaceae,493,11/25/2018,12/17/2021
328,Rubber,Solanaceae,735,9/17/2018,3/14/2022
329,Aluminum,Amblystegiaceae,814,1/25/2019,10/13/2021
330,Plexiglass,Sapindaceae,643,3/2/2019,7/30/2021
331,Brass,Scrophulariaceae,762,12/20/2018,12/31/2022
332,Vinyl,Asteraceae,305,9/4/2018,3/7/2022
333,Vinyl,Asteraceae,839,2/9/2019,6/8/2020
334,Glass,Fabaceae,244,6/30/2018,9/3/2022
335,Wood,Lecanoraceae,340,1/3/2019,1/3/2021
336,Brass,Poaceae,519,8/1/2018,10/22/2020
337,Wood,Cupressaceae,94,2/15/2019,2/27/2022
338,Plexiglass,Pyrenulaceae,90,8/24/2018,11/19/2022
339,Plastic,Gentianaceae,755,11/16/2018,4/18/2022
340,Glass,Poaceae,615,9/5/2018,1/17/2022
341,Aluminum,Asteraceae,359,2/4/2019,5/4/2022
342,Vinyl,Portulacaceae,7,12/11/2018,7/17/2021
343,Wood,Scrophulariaceae,28,9/3/2018,4/10/2021
344,Stone,Cactaceae,441,11/12/2018,4/23/2021
345,Steel,Scrophulariaceae,315,9/30/2018,10/23/2022
346,Plexiglass,Brassicaceae,111,6/23/2018,11/25/2021
347,Plexiglass,Asteraceae,517,9/16/2018,8/14/2020
348,Stone,Capparaceae,216,12/13/2018,2/14/2022
349,Plastic,Asteraceae,270,10/26/2018,5/29/2021
350,Aluminum,Micareaceae,948,9/23/2018,1/29/2022
351,Aluminum,Convolvulaceae,210,1/21/2019,2/5/2022
352,Rubber,Commelinaceae,879,3/16/2019,8/7/2021
353,Vinyl,Fabaceae,740,11/22/2018,6/3/2020
354,Glass,Cyperaceae,882,12/4/2018,1/4/2023
355,Rubber,Meliaceae,917,6/30/2018,11/16/2020
356,Wood,Asteraceae,61,9/11/2018,1/10/2022
357,Aluminum,Lecanoraceae,806,11/16/2018,4/8/2022
358,Vinyl,Pottiaceae,877,7/6/2018,8/23/2021
359,Brass,Asteraceae,916,1/12/2019,11/8/2020
360,Rubber,Juncaceae,54,1/13/2019,1/8/2023
361,Glass,Amaranthaceae,643,3/7/2019,2/22/2021
362,Brass,Iridaceae,306,6/16/2018,8/31/2021
363,Granite,Rubiaceae,498,10/18/2018,8/16/2022
364,Aluminum,Scrophulariaceae,734,2/8/2019,6/4/2022
365,Brass,Physciaceae,365,11/28/2018,1/3/2023
366,Plexiglass,Parmeliaceae,70,1/3/2019,9/8/2020
367,Plastic,Rosaceae,442,7/16/2018,9/2/2020
368,Granite,Simaroubaceae,758,7/11/2018,2/3/2022
369,Steel,Parmeliaceae,166,10/28/2018,9/16/2022
370,Plastic,Resedaceae,858,11/1/2018,2/11/2023
371,Stone,Fabaceae,517,11/22/2018,4/11/2021
372,Rubber,Poaceae,763,3/16/2019,12/18/2020
373,Brass,Pinaceae,445,9/25/2018,12/28/2022
374,Rubber,Grossulariaceae,626,8/18/2018,3/13/2021
375,Brass,Fissidentaceae,240,10/22/2018,3/9/2021
376,Plastic,Archidiaceae,370,12/24/2018,11/12/2021
377,Stone,Scrophulariaceae,606,7/4/2018,7/21/2021
378,Wood,Asteraceae,631,12/28/2018,2/28/2022
379,Stone,Asteraceae,164,10/19/2018,4/24/2021
380,Stone,Geraniaceae,162,12/23/2018,3/6/2021
381,Plastic,Polygonaceae,841,3/7/2019,9/4/2020
382,Vinyl,Isoetaceae,743,3/1/2019,12/2/2021
383,Steel,Asteraceae,907,11/11/2018,12/9/2022
384,Plastic,Asteraceae,972,11/7/2018,2/18/2022
385,Rubber,Asteraceae,637,10/12/2018,4/30/2021
386,Granite,Liliaceae,574,6/11/2018,4/2/2022
387,Glass,Fabaceae,452,10/16/2018,1/28/2021
388,Vinyl,Pterigynandraceae,762,10/16/2018,2/2/2022
389,Rubber,Valerianaceae,340,11/15/2018,4/26/2022
390,Rubber,Parmeliaceae,733,7/24/2018,2/17/2021
391,Stone,Polygonaceae,305,11/16/2018,2/3/2021
392,Wood,Ranunculaceae,318,10/21/2018,2/3/2022
393,Plastic,Pertusariaceae,359,11/5/2018,11/9/2020
394,Stone,Marantaceae,781,2/15/2019,4/7/2021
395,Aluminum,Cyperaceae,350,1/7/2019,4/17/2022
396,Aluminum,Malvaceae,670,11/16/2018,2/15/2023
397,Stone,Acanthaceae,647,6/9/2018,3/19/2023
398,Rubber,Fabaceae,251,8/23/2018,3/4/2023
399,Wood,Garryaceae,947,1/8/2019,1/31/2021
400,Brass,Lecanoraceae,365,8/18/2018,10/17/2021
401,Glass,Pittosporaceae,744,8/5/2018,12/31/2020
402,Plastic,Polygonaceae,781,6/30/2018,3/11/2023
403,Aluminum,Pottiaceae,401,7/5/2018,2/11/2023
404,Aluminum,Ericaceae,735,11/19/2018,8/23/2021
405,Rubber,Brassicaceae,515,7/22/2018,9/15/2022
406,Plexiglass,Violaceae,461,11/30/2018,12/4/2021
407,Stone,Poaceae,480,10/8/2018,11/20/2022
408,Plexiglass,Asteraceae,782,10/16/2018,1/25/2021
409,Vinyl,Fabaceae,492,12/22/2018,1/3/2023
410,Steel,Cactaceae,193,12/19/2018,10/6/2022
411,Steel,Rosaceae,10,3/1/2019,12/20/2020
412,Aluminum,Blechnaceae,357,1/8/2019,2/17/2023
413,Rubber,Myrsinaceae,29,8/9/2018,8/20/2020
414,Vinyl,Apiaceae,296,12/24/2018,1/20/2023
415,Plastic,Cyperaceae,951,9/15/2018,8/26/2022
416,Rubber,Arecaceae,623,2/17/2019,6/29/2021
417,Aluminum,Verrucariaceae,382,6/17/2018,11/2/2020
418,Steel,Rhamnaceae,168,7/12/2018,11/2/2020
419,Wood,Brassicaceae,598,1/20/2019,11/7/2022
420,Stone,Leskeaceae,608,12/3/2018,5/22/2021
421,Brass,Verrucariaceae,386,3/3/2019,2/21/2023
422,Glass,Euphorbiaceae,581,1/6/2019,10/1/2021
423,Plastic,Asteraceae,432,11/20/2018,6/23/2020
424,Aluminum,Rosaceae,938,12/11/2018,2/9/2022
425,Wood,Aquifoliaceae,10,10/29/2018,10/17/2020
426,Aluminum,Asteraceae,128,10/13/2018,6/3/2020
427,Granite,Rubiaceae,209,2/5/2019,10/23/2021
428,Plastic,Cyperaceae,524,9/7/2018,1/3/2022
429,Plexiglass,Rhamnaceae,395,8/23/2018,1/29/2023
430,Steel,Bryaceae,267,3/11/2019,12/25/2020
431,Vinyl,Iridaceae,691,8/21/2018,2/24/2022
432,Brass,Onagraceae,758,1/4/2019,5/11/2022
433,Steel,Cyperaceae,159,9/5/2018,7/10/2020
434,Glass,Pottiaceae,628,9/14/2018,4/4/2021
435,Vinyl,Poaceae,658,11/17/2018,11/24/2021
436,Granite,Asteraceae,988,1/31/2019,12/22/2021
437,Wood,Chenopodiaceae,700,10/11/2018,5/24/2021
438,Plastic,Poaceae,623,11/27/2018,9/8/2020
439,Plastic,Monotropaceae,100,7/24/2018,9/30/2020
440,Aluminum,Liliaceae,789,3/15/2019,11/9/2021
441,Plastic,Ranunculaceae,656,10/25/2018,3/19/2023
442,Plexiglass,Fabaceae,549,6/5/2018,11/20/2022
443,Granite,Eriocaulaceae,161,10/7/2018,3/8/2021
444,Wood,Apocynaceae,426,11/14/2018,4/11/2022
445,Stone,Pertusariaceae,58,1/12/2019,7/7/2021
446,Steel,Fabaceae,259,12/25/2018,3/29/2021
447,Granite,Verrucariaceae,900,7/15/2018,6/10/2022
448,Steel,Polygonaceae,927,10/2/2018,3/12/2022
449,Vinyl,Physciaceae,124,12/2/2018,12/22/2020
450,Plexiglass,Aristolochiaceae,609,7/1/2018,9/15/2020
451,Vinyl,Juncaceae,141,7/1/2018,9/10/2022
452,Wood,Amaranthaceae,556,11/13/2018,9/22/2021
