Purchase_Order,Vendor,geo_lat,geo_long,Materials,Quantity,Price,Delivery_Date
48,Buckridge-Barton,-20.3483832,-41.6385979,Stone,166,168,12/10/2020
49,"Corkery, Gleichner and Ondricka",58.8965066,15.4323507,Plexiglass,72,1230,6/25/2020
50,"Reinger, Lehner and Cremin",50.5664031,19.5697659,Glass,559,2006,10/12/2020
51,"Towne, Sawayn and Grant",-17.8546259,-40.3322956,Stone,884,1655,10/10/2021
52,"Hodkiewicz, Corwin and Weber",-17.8665628,-70.5666522,Rubber,149,178,11/11/2020
53,"Mueller, Cormier and Walter",45.0575208,20.1945283,Stone,986,2015,11/16/2021
54,Maggio Group,27.2391407,108.9329091,Brass,577,3213,4/11/2021
55,"Jenkins, Cruickshank and Toy",22.951554,112.10915,Stone,360,2212,11/10/2021
56,Harris-Fay,15.4566044,-91.8808763,Vinyl,7,3450,11/18/2020
57,Bauch-Murazik,41.05,-73.54,Wood,524,817,12/3/2021
58,"Shields, Schroeder and Kuhic",28.233802,103.640693,Steel,322,2186,10/1/2021
59,"Pagac, Kertzmann and Greenfelder",-6.8089753,106.493598,Stone,123,2732,2/7/2021
60,Shields-King,41.326318,109.327018,Aluminum,646,2292,8/22/2020
61,McDermott Inc,16.0543375,100.2151578,Brass,720,2454,10/25/2020
62,Beier-Labadie,-2.0983597,-79.6923047,Stone,606,123,6/18/2020
63,Harris LLC,43.0429124,1.9038837,Rubber,553,3861,3/29/2022
64,"Witting, Dickinson and Rolfson",-20.0170955,-45.9795138,Vinyl,386,2683,4/14/2022
65,Weber-Cormier,-34.6961915,-58.8423829,Rubber,971,2883,6/24/2022
66,"Thompson, Gutkowski and Botsford",41.2867601,110.2374621,Vinyl,910,2302,8/19/2022
67,Turcotte-Hudson,49.2422244,17.4697527,Plexiglass,651,2708,7/6/2022
68,Emmerich and Sons,34.1470534,135.2088227,Granite,462,3993,12/24/2021
69,"Jast, Torphy and Schiller",7.75778,124.73361,Vinyl,532,2563,12/27/2022
70,Johnston and Sons,18.8839458,100.3031364,Steel,927,552,10/10/2020
71,Jacobson-O'Conner,51.3541936,18.4554178,Granite,816,2135,4/3/2022
72,Frami-Lakin,-8.25944,115.566002,Brass,314,2414,1/5/2023
73,Stehr-Dooley,38.9426594,-9.3964878,Stone,256,1424,10/19/2022
74,"Casper, Reilly and Sawayn",28.5107872,-81.4828198,Vinyl,48,3944,10/26/2022
75,Dooley Group,44.9878037,20.2567012,Vinyl,783,2103,5/6/2022
76,"Blanda, Koch and Wisozk",-7.1516288,108.8373244,Steel,114,3007,11/2/2020
77,"Hoeger, Rowe and Satterfield",13.1959918,-86.1688177,Wood,901,2638,6/15/2021
78,Greenfelder-Boyle,-31.4834373,-64.2145666,Aluminum,985,2555,1/30/2021
79,Larson-Larson,49.9164727,18.1627822,Vinyl,872,2099,12/31/2020
80,Towne-Moore,-21.9948246,47.3706554,Stone,589,84,11/25/2021
81,"Deckow, Raynor and McLaughlin",-0.789275,113.921327,Steel,444,1574,4/20/2021
82,Reichel-Collins,50.6594689,15.2748089,Aluminum,204,3157,2/1/2021
83,Gislason Group,67.2929841,14.587686,Aluminum,184,3481,4/8/2022
84,"Kemmer, Roberts and Kiehn",-2.3549763,115.5088914,Vinyl,37,3108,9/7/2020
85,Harris Group,48.8313352,58.1488829,Wood,877,3019,11/18/2021
86,Hammes-Cummings,43.8047536,25.9294198,Rubber,257,1858,7/8/2022
87,"Kemmer, Rath and Renner",13.1285787,101.3658004,Granite,980,997,2/17/2021
88,"Bailey, Blick and Rodriguez",40.5369108,21.2582079,Steel,483,386,8/11/2022
89,Lynch and Sons,14.7569624,121.0774147,Wood,938,1002,9/22/2022
90,Murray Group,12.7994866,99.9669212,Steel,350,1307,5/22/2022
91,Bernhard-Rogahn,-20.2418916,57.4895998,Plastic,678,637,1/29/2023
92,Wyman Inc,25.315243,119.090741,Steel,200,472,1/22/2021
93,Pfeffer and Sons,43.1627276,45.6198851,Aluminum,540,1782,12/10/2020
94,Hermiston and Sons,-9.1930089,-38.2110938,Wood,522,2316,12/27/2022
95,Effertz Inc,28.0870967,30.7618397,Granite,422,598,12/7/2020
96,Reichel-Borer,-7.0894174,114.0458275,Vinyl,719,341,11/23/2022
97,Moore and Sons,26.97139,115.118091,Aluminum,746,1537,12/30/2020
98,"Corkery, Hamill and Bogisich",35.0702051,118.2536287,Steel,356,3850,6/7/2022
99,Harber-Collier,-3.5943944,26.6700737,Vinyl,405,210,8/30/2021
100,"Bosco, Davis and Mohr",51.1081572,15.583895,Aluminum,618,642,6/30/2021
101,Hirthe Inc,54.9794837,50.3850925,Granite,541,2608,3/15/2021
102,Berge and Sons,-8.1401564,117.7901088,Glass,265,382,7/19/2022
103,"Legros, Upton and Feest",10.5685138,1.7283341,Granite,481,593,11/10/2021
104,"Altenwerth, Haag and DuBuque",53.6693538,23.8131306,Granite,542,2429,9/27/2020
105,"Bechtelar, Sanford and Wyman",7.9414261,122.3862362,Steel,794,2533,1/12/2021
106,Ferry-Schaden,31.329601,120.434238,Brass,742,2297,6/10/2021
107,"Johnson, Hauck and Douglas",48.3228384,29.1521095,Plastic,562,503,5/6/2021
108,"Cronin, Fay and Johnston",-8.516612,113.8822686,Glass,778,3789,10/13/2020
109,Treutel Group,-8.793392,121.9330894,Aluminum,61,823,6/19/2022
110,Denesik and Sons,-15.6469053,-49.4466005,Rubber,131,942,3/29/2021
111,Zieme-Hettinger,53.21983,15.75932,Granite,658,3128,10/26/2020
112,"Gerhold, Hermann and Stokes",35.5374671,23.7813889,Glass,365,3561,8/18/2022
113,"Kuhlman, Wisozk and Kihn",61.4559668,23.7382315,Glass,898,1488,12/28/2020
114,Beatty Group,11.2807738,124.5651398,Brass,456,2219,12/16/2021
115,"Legros, Reinger and Sawayn",53.8458953,19.6034448,Steel,956,1119,8/13/2021
116,Kunde LLC,-8.7872653,116.2804288,Glass,864,2201,4/17/2021
117,"Willms, Ortiz and Reilly",-8.6417702,126.3795987,Plexiglass,136,2964,4/19/2021
118,"McLaughlin, Stokes and Berge",54.9536614,73.3865836,Wood,993,1921,8/26/2020
119,Hartmann-Langworth,46.3919813,15.5727869,Plastic,882,1544,2/27/2021
120,Graham Group,42.546675,129.010106,Brass,246,3917,6/10/2020
121,Runolfsdottir-Crist,7.193611,100.592145,Plexiglass,394,3374,10/21/2020
122,Durgan LLC,40.841536,22.9208045,Vinyl,805,2732,7/6/2021
123,"Waters, Bogisich and Stamm",51.756353,14.7142269,Rubber,330,795,8/20/2020
124,Shields-Robel,39.109563,117.223371,Granite,327,128,7/25/2020
125,Ruecker-Rempel,58.0618351,7.584995,Aluminum,219,1307,6/30/2022
126,Fahey-Krajcik,34.859175,40.6016766,Vinyl,539,2937,8/12/2021
127,Gulgowski-Heathcote,-22.422971,-45.4602511,Glass,24,3010,11/8/2020
128,Davis-Erdman,59.3366653,18.0930966,Plastic,191,1257,3/25/2022
129,"Conroy, Nolan and Bechtelar",7.9300961,98.3417006,Brass,391,1373,10/16/2021
130,Brakus-Zieme,59.3335257,57.2583377,Aluminum,979,1642,5/12/2022
131,Schuppe-Zboncak,-6.8268504,111.8359916,Aluminum,613,3324,12/9/2021
132,Stokes Group,59.3366653,18.0930966,Wood,276,2087,11/5/2021
133,Altenwerth Inc,45.6878582,18.4041894,Plastic,246,3124,5/8/2021
134,Rodriguez and Sons,6.604594,-73.069241,Steel,105,3148,12/1/2021
135,"Jones, Haley and Wyman",52.300713,-1.6462357,Brass,943,397,3/13/2021
136,Schultz-Wehner,48.3667546,25.2298685,Granite,632,1521,2/11/2022
137,Goldner LLC,52.43843,17.77321,Plexiglass,755,502,8/30/2021
138,"Ondricka, Smith and Altenwerth",-6.197006,106.615284,Brass,998,3413,6/25/2021
139,Rippin LLC,22.5250447,91.9196949,Aluminum,825,3080,9/7/2020
140,Casper-Wisoky,40.412369,117.103146,Stone,478,2986,9/9/2021
141,Kovacek-Klein,6.12151,102.2400127,Brass,320,3107,2/3/2021
142,"Schroeder, Koepp and Schuster",27.690732,111.45269,Brass,563,3907,12/10/2020
143,Ortiz-Bailey,45.4067515,20.6262629,Aluminum,419,138,1/24/2021
144,Nicolas LLC,46.2961712,14.8062347,Wood,870,3787,5/15/2022
145,Kuvalis Inc,36.4173244,139.2821897,Brass,56,766,7/22/2021
146,Emmerich and Sons,16.0271237,-3.9878427,Glass,567,417,10/23/2022
147,Stanton Inc,34.943098,107.77215,Brass,726,3347,7/26/2021
148,"Hirthe, Emmerich and Collier",-8.7517433,122.0183914,Aluminum,675,1700,8/30/2021
149,"Wolff, Jaskolski and Lebsack",-7.1234674,111.8479156,Wood,207,1261,6/25/2020
150,Stracke Inc,-20.5897439,-49.318099,Granite,629,1660,9/15/2022
151,Monahan-Nienow,-30.0263293,25.7797078,Vinyl,77,81,4/19/2021
152,Gislason-Klein,32.8094568,-96.889555,Stone,218,2777,2/25/2022
153,Stiedemann Inc,23.156538,102.746704,Aluminum,880,161,8/24/2020
154,"Barrows, Dach and Raynor",62.4070944,17.2494041,Wood,92,835,2/27/2021
155,"Schmitt, Leannon and Paucek",43.8227415,18.2051201,Steel,454,2305,6/29/2021
156,"Schiller, Will and Friesen",5.1227373,9.9520961,Steel,366,3566,8/20/2021
157,"Mertz, Howell and McKenzie",-23.611227,-46.668872,Vinyl,539,611,5/14/2022
158,Kutch Inc,36.8173373,24.5599015,Wood,598,1035,5/17/2022
159,"Abernathy, Kuphal and Pfeffer",38.7021233,-8.9557309,Aluminum,436,2070,7/14/2021
160,Watsica Inc,53.9559626,38.2899306,Brass,742,1444,11/26/2022
161,"Schmidt, Monahan and Wehner",46.1016128,47.7243761,Brass,23,477,6/4/2021
162,West-Bergstrom,49.8481991,13.9796068,Vinyl,235,603,6/15/2021
163,"Douglas, Daniel and Deckow",60.5708242,22.097429,Plastic,275,2662,11/11/2022
164,"Dietrich, Langworth and Turner",56.5523691,38.0335558,Vinyl,71,3382,4/24/2021
165,"Auer, Emard and Bergnaum",36.320344,113.536047,Brass,651,924,5/8/2022
166,Stark and Sons,55.8065475,38.1784959,Stone,728,473,7/4/2021
167,Krajcik Inc,13.9534752,101.7196704,Brass,690,3200,7/13/2022
168,Mayert Inc,40.3172129,-8.7543161,Plastic,314,3468,11/22/2021
169,Upton LLC,-6.6513426,106.3493224,Stone,379,747,10/27/2020
170,"Steuber, Pouros and Padberg",50.2837307,2.7425682,Wood,495,2321,11/26/2022
171,Goldner Group,6.6753696,124.5444219,Plastic,63,1761,12/3/2022
172,"Kshlerin, Rau and Conroy",-19.9125279,-41.4812771,Stone,218,2199,11/3/2022
173,"Wilkinson, Olson and Stamm",15.3775935,-88.0240796,Wood,176,2129,10/10/2022
174,Abbott-Kohler,61.9919,-49.6572,Granite,486,2407,10/9/2020
175,Terry-Batz,51.7111719,17.993399,Wood,560,1528,7/19/2020
176,"Zemlak, Murazik and Ankunding",-4.4606478,-65.6658568,Stone,717,1368,9/12/2021
177,Lueilwitz and Sons,-6.5588437,-78.7348674,Stone,503,236,2/15/2021
178,Towne-Deckow,35.2686888,9.4283801,Vinyl,972,497,4/24/2021
179,"Jenkins, Greenfelder and Stroman",58.4249631,29.3677109,Steel,185,2904,11/15/2022
180,Blanda and Sons,28.6517036,117.9041296,Brass,322,780,2/14/2023
181,"Feest, Ondricka and Wilkinson",40.284979,117.134151,Granite,243,3478,6/12/2020
182,Cole Group,49.553517,25.594767,Brass,655,295,2/21/2021
183,Brakus Group,14.72328,102.1609718,Stone,585,1319,6/9/2021
184,"Streich, Monahan and Bruen",37.3942527,126.9568209,Wood,434,3719,2/23/2023
185,Sipes-Lynch,36.628305,101.765843,Vinyl,325,1628,8/25/2021
186,Rutherford-Wolff,49.548202,124.364153,Aluminum,507,1605,5/5/2022
187,Gleason Group,50.1629359,17.5748125,Wood,660,3296,8/14/2021
188,Kihn-Berge,51.4057505,-2.5573746,Glass,757,44,7/28/2022
189,Baumbach LLC,41.096515,45.4741645,Granite,508,2234,10/5/2022
190,D'Amore-Ziemann,7.3333335,124.5666656,Brass,496,3593,11/4/2022
191,Fahey-Kertzmann,41.401292,-8.2582067,Stone,262,2668,10/3/2021
192,Farrell Inc,41.3807001,-8.7336232,Plexiglass,256,1156,7/7/2022
193,Mills and Sons,41.2749848,-8.0080212,Brass,700,3181,7/9/2021
194,"Runolfsson, Moen and Cartwright",8.909013,-75.9579358,Wood,519,2027,7/6/2020
195,Crist-Dickinson,62.1331515,22.55812,Stone,707,1290,8/16/2022
196,"Schmeler, Stark and Harvey",-30.6866136,26.7063745,Stone,702,2308,3/21/2021
197,Johnson and Sons,26.647932,107.917448,Plexiglass,761,361,6/14/2021
198,Moen-Howell,36.389401,120.44716,Vinyl,578,1364,8/22/2022
199,"Weber, Gerhold and Pfeffer",32.147679,114.091192,Brass,979,3788,3/16/2022
200,Lebsack Group,12.4492291,98.6270628,Wood,718,959,6/15/2022
201,Rice and Sons,30.242572,120.053059,Vinyl,223,3934,11/30/2022
202,"Cormier, Steuber and Cremin",45.4002994,29.5961736,Aluminum,145,2446,4/1/2022
203,"Jacobi, Conn and Terry",39.41691,69.28677,Steel,789,671,10/1/2021
204,Torp-Armstrong,48.9323908,2.4774664,Rubber,210,3190,12/5/2020
205,"Sipes, Feil and Brekke",-26.8193949,-65.1435685,Stone,404,1680,2/28/2021
206,Blick-Schmeler,40.78276,43.80583,Plastic,26,1071,8/7/2022
207,Considine and Sons,5.4602321,95.3900288,Steel,406,3277,10/20/2020
208,Kozey-Bayer,31.095979,105.094586,Steel,292,1216,5/2/2021
209,Gutmann and Sons,-8.6797285,122.3504283,Wood,985,608,5/29/2022
210,"Funk, Simonis and Carter",41.2267295,-8.378101,Aluminum,739,751,2/17/2023
211,"Bednar, Heaney and Bode",29.275625,110.790339,Glass,280,2854,11/20/2022
212,Douglas and Sons,13.9734064,121.6889505,Wood,423,208,10/20/2020
213,Bergstrom-Lakin,30.274084,120.15507,Aluminum,356,97,10/8/2021
214,"Little, Lowe and Howell",34.5107638,69.1173623,Wood,653,1629,5/23/2021
215,Ledner and Sons,60.4741704,15.4902722,Aluminum,303,1632,7/17/2022
216,"Pacocha, Lynch and Streich",4.272793,-74.416014,Plastic,551,3629,6/4/2020
217,"Mayert, Fritsch and Ernser",22.556499,114.236875,Rubber,561,2903,7/19/2020
218,Rohan-Krajcik,53.3582341,-6.4496384,Stone,111,1754,6/17/2021
219,"Kling, Wehner and Oberbrunner",27.9972231,67.9616412,Plastic,744,1926,4/22/2021
220,Thiel LLC,56.7458379,24.4061069,Steel,408,299,6/17/2022
221,Rippin-Block,53.068264,16.136353,Plexiglass,734,2447,5/18/2022
222,Crist-Runolfsdottir,41.7973754,-8.4685789,Aluminum,307,3715,10/1/2021
223,"Bode, Hahn and Steuber",57.8593919,12.4331389,Vinyl,246,158,1/10/2023
224,"Keebler, Wiegand and Erdman",57.6801021,11.9901161,Steel,119,1615,11/18/2020
225,Aufderhar Inc,11.1572834,166.887052,Glass,196,880,5/24/2021
226,"Stanton, Bailey and Hagenes",49.7370109,17.427878,Vinyl,610,2663,11/11/2020
227,Okuneva Inc,47.9956173,0.1924459,Vinyl,190,542,4/27/2022
228,Tremblay-Hayes,-8.7876456,121.6029824,Glass,711,1283,7/4/2022
229,Stoltenberg Inc,-19.7667781,-43.0343237,Aluminum,994,159,2/17/2023
230,Baumbach Inc,57.7193237,11.9120278,Rubber,919,2774,7/20/2022
231,"Padberg, Kutch and Friesen",-7.4515784,108.1888771,Steel,568,2500,12/28/2021
232,Corwin-Dickens,-13.1340453,38.9981052,Plexiglass,860,2616,12/10/2020
233,Hudson-Rohan,48.3606958,-0.2717072,Rubber,950,369,7/13/2022
234,O'Hara-Metz,10.5925289,14.3210095,Granite,912,94,4/12/2021
235,White-Dickens,-13.7557949,-172.3051657,Stone,577,1701,11/28/2021
236,Bahringer and Sons,41.11028,21.01139,Granite,604,3337,3/17/2021
237,Treutel-Daugherty,39.918603,22.6825626,Aluminum,831,3495,9/5/2021
238,Graham Inc,59.922175,10.727404,Wood,537,2544,1/31/2022
239,"Hartmann, McGlynn and Schmitt",-6.4185424,106.8502879,Vinyl,318,1900,10/7/2022
240,"Considine, Hermiston and Hirthe",17.7409147,-91.7660525,Aluminum,120,155,3/28/2021
241,"Swaniawski, Rogahn and Effertz",41.3743894,-7.6099869,Plexiglass,981,1097,3/6/2021
242,Emmerich and Sons,54.6567593,32.1804491,Aluminum,96,152,7/17/2021
243,Gulgowski LLC,-7.7177,114.0741,Aluminum,914,446,10/26/2022
244,Langworth and Sons,35.5732078,8.6683097,Granite,775,792,3/18/2023
245,"Stroman, Wunsch and Jerde",25.9375976,-100.3638252,Plastic,587,2953,10/18/2022
246,"Strosin, Kohler and Thompson",43.1905743,3.0057099,Stone,902,1915,6/21/2022
247,"Gutkowski, Tremblay and Boyle",48.5393826,135.0394338,Wood,237,353,2/20/2021
248,Flatley LLC,17.8735534,-77.2290193,Wood,626,1063,12/19/2021
249,"Fadel, Waters and Lind",37.7616723,-25.1607541,Granite,173,3945,5/7/2021
250,Lemke LLC,-25.1042007,-65.5381671,Wood,397,3663,8/27/2022
251,"Ritchie, Johnston and Lynch",9.8245916,122.9082413,Brass,819,404,2/3/2021
252,"Kunde, Corwin and Crona",-3.0029841,115.9467997,Stone,887,3909,6/9/2022
253,Hintz and Sons,44.7154014,37.7619669,Brass,102,1241,11/30/2021
254,Schuster-Hilll,-21.1041295,55.2484176,Rubber,450,980,7/1/2022
255,Bayer and Sons,11.0915371,-6.8914024,Brass,760,2353,11/22/2021
256,Welch-Reynolds,14.8032838,-88.5975892,Plastic,888,2553,4/26/2022
257,Hintz-Bailey,8.1393408,4.7174062,Plastic,175,196,4/14/2021
258,Stroman LLC,60.7865441,14.1928243,Glass,824,2413,6/20/2021
259,"Prosacco, Conroy and Halvorson",18.8121479,-70.0347754,Steel,875,814,5/10/2022
260,Watsica and Sons,46.801046,98.0983756,Wood,592,2160,8/14/2021
261,"Stiedemann, Mante and Russel",-7.5450262,111.6556388,Vinyl,903,212,4/8/2022
262,"Schroeder, Turcotte and Nikolaus",49.5733006,21.0597432,Stone,634,3318,1/31/2023
263,Mitchell-Pfannerstill,50.0026509,18.9881936,Granite,20,850,6/26/2020
264,Witting Group,-8.38225,114.63643,Brass,544,711,2/3/2022
265,Ebert-Hansen,41.2930767,-8.2707264,Wood,897,3961,10/27/2022
266,Walter Group,46.1357218,14.7444352,Steel,994,2123,4/19/2021
267,Herzog-Bayer,9.8318931,123.4675853,Glass,979,3346,1/25/2023
268,Jenkins-Davis,34.746611,113.625328,Stone,525,2261,11/28/2021
269,Langosh and Sons,50.23154,24.377,Vinyl,50,1678,7/7/2020
270,Rowe and Sons,36.6454207,52.9009502,Granite,528,3128,3/9/2021
271,Hegmann LLC,50.7881573,4.4180065,Stone,609,2084,9/11/2021
272,Goodwin-Huel,54.7747231,22.8634338,Stone,124,1204,1/2/2023
273,Runolfsson-Block,-20.6670494,-42.8618635,Plastic,276,873,6/5/2020
274,Williamson and Sons,8.4937903,124.635164,Aluminum,15,3752,11/5/2021
275,"Schowalter, Fay and Donnelly",7.7553228,124.2474479,Plastic,809,2722,10/14/2021
276,"Schimmel, Mann and Wisoky",51.3106091,21.2523841,Vinyl,554,910,9/19/2022
277,"Rosenbaum, Hettinger and Johnson",13.5570718,-88.3494328,Granite,940,2977,6/17/2022
278,Considine Inc,53.0353444,5.6840137,Glass,609,2704,8/7/2021
279,Koelpin Group,49.9747505,16.40677,Aluminum,104,3065,6/5/2020
280,Marks LLC,-6.4240524,-79.242648,Plexiglass,893,2954,12/28/2022
281,"Trantow, Rice and O'Conner",40.8437383,22.2997708,Granite,74,3947,8/12/2022
282,Spinka-Dicki,43.4945737,5.8978018,Vinyl,28,2668,2/3/2022
283,Stark-Hettinger,16.2413934,-61.5340396,Aluminum,455,2123,3/1/2023
284,Armstrong-Schuppe,19.188296,108.799374,Plexiglass,250,2524,4/21/2022
285,Blick and Sons,49.0194225,2.4613377,Brass,640,406,5/6/2022
286,Zboncak-Durgan,36.8830175,137.4502378,Vinyl,663,3168,2/6/2021
287,Hane Group,-6.8027421,105.7644596,Granite,457,3729,6/5/2022
288,Heidenreich-Harber,42.2098979,20.7400297,Wood,337,1575,5/6/2021
289,Wuckert-Gleichner,36.7027082,67.7079491,Plastic,479,2093,10/3/2021
290,Runolfsson LLC,59.4033695,17.9443213,Brass,768,157,8/27/2021
291,Herman-Dach,-13.470532,-72.8795,Wood,338,234,3/6/2021
292,"Bartell, Kertzmann and Zieme",48.9975355,15.3515386,Brass,113,1126,1/8/2021
293,"Blick, Kshlerin and Jast",14.6773627,43.5799151,Rubber,696,2941,1/11/2022
294,Lemke Group,36.8022774,-76.2768755,Steel,624,3242,9/18/2022
295,Dibbert Inc,14.155481,120.92747,Vinyl,784,633,12/26/2022
296,"Hand, Hegmann and Krajcik",49.7370109,17.427878,Granite,63,3121,9/21/2021
297,"Schmeler, Kilback and Mayer",21.0256819,106.9983133,Glass,75,2725,10/24/2020
298,"Reilly, Harvey and Schneider",14.9795865,120.6149195,Brass,735,3990,6/23/2021
299,Ullrich Group,25.419319,118.993885,Brass,232,604,8/15/2022
300,Gorczany and Sons,46.3043619,38.9758429,Rubber,609,1003,6/12/2020
301,"Hegmann, Hoppe and Aufderhar",7.1966596,35.4288797,Rubber,907,1389,9/9/2022
302,"Schultz, Breitenberg and Hirthe",57.0973349,12.2573683,Granite,96,735,1/30/2021
303,"Marks, Kunde and Collins",15.5027303,120.5129814,Vinyl,426,3356,7/8/2022
304,Weissnat Inc,-14.3568964,-71.1693594,Aluminum,485,151,10/7/2021
305,"Kling, Mitchell and Lynch",32.762022,111.709662,Wood,969,1945,1/16/2021
306,"Marvin, Kozey and Mayer",43.4320181,6.7329389,Vinyl,734,2449,7/7/2021
307,"Orn, Grant and Witting",22.863502,114.333767,Plastic,342,851,8/27/2020
308,"Zboncak, Hyatt and Cummings",27.127669,113.961465,Granite,883,3662,6/19/2020
309,"Littel, Pollich and Reichert",-34.6730937,-58.5501558,Steel,883,629,8/11/2020
310,"Hane, Wisoky and Kilback",39.3438828,-8.0659871,Plexiglass,246,785,10/4/2022
311,Deckow LLC,34.5057425,134.2087936,Aluminum,86,690,6/4/2022
312,Effertz LLC,-14.19396,-73.54213,Plexiglass,695,3211,6/14/2022
313,Kutch-Baumbach,-7.6179234,109.1850317,Aluminum,645,3685,8/28/2020
314,Reichel LLC,41.2899133,-96.0996978,Glass,303,3515,8/12/2020
315,Grimes Inc,20.2542725,-76.5430429,Vinyl,415,2727,5/1/2022
316,Considine-Weissnat,23.021478,113.121435,Stone,620,2172,4/1/2021
317,"Feil, Lynch and Langosh",26.547864,106.7716045,Vinyl,438,834,2/11/2022
318,Douglas-Kautzer,-7.2578991,107.8632023,Plastic,840,2613,10/9/2022
319,Dooley-Champlin,38.2270256,-7.6809329,Wood,92,3760,4/29/2021
320,Cremin Inc,37.08828,79.855399,Wood,570,2393,12/22/2021
321,Kessler LLC,13.4570619,123.6791749,Steel,553,1725,3/4/2023
322,Schimmel-Sauer,50.0385516,14.0470364,Wood,482,2698,10/26/2021
323,Altenwerth LLC,-16.328546,-48.953403,Stone,202,1786,8/8/2020
324,"Aufderhar, Conroy and Berge",-10.8416198,39.6285874,Wood,305,1377,2/6/2023
325,"Smitham, Heidenreich and Nienow",30.830898,120.92585,Brass,90,1100,7/11/2020
326,Emmerich-Durgan,40.425649,-3.6721577,Stone,470,1444,1/5/2023
327,Osinski Group,22.2566889,106.4731314,Rubber,122,3651,12/10/2021
328,"Nicolas, Donnelly and Lowe",-6.5596329,111.0534923,Stone,300,2609,8/30/2022
329,Cole-Bechtelar,30.132282,109.857969,Granite,741,2338,3/21/2022
